# lambda_A, throughput  (3xAg mirror x optics x grism x QE)
7.350000000000000000e+03,5.145869024284206450e-01
7.375000000000000000e+03,5.140886177624841569e-01
7.400000000000000000e+03,5.135873234901311424e-01
7.425000000000000000e+03,5.130828463189344157e-01
7.450000000000000000e+03,5.125750021019432889e-01
7.475000000000000000e+03,5.120635951675679420e-01
7.500000000000000000e+03,5.115484176094007296e-01
7.525000000000000000e+03,5.110292485337599722e-01
7.550000000000000000e+03,5.105058532626297607e-01
7.575000000000000000e+03,5.099779824895781521e-01
7.600000000000000000e+03,5.094453713861285538e-01
7.625000000000000000e+03,5.089077386559648364e-01
7.650000000000000000e+03,5.083647855342409150e-01
7.675000000000000000e+03,5.078161947291824907e-01
7.700000000000000000e+03,5.072616293030576262e-01
7.725000000000000000e+03,5.067007314895167758e-01
7.750000000000000000e+03,5.061331214442130744e-01
7.775000000000000000e+03,5.055583959255364190e-01
7.800000000000000000e+03,5.049761269022338128e-01
7.825000000000000000e+03,5.044174957937237469e-01
7.850000000000000000e+03,5.038544631793036022e-01
7.875000000000000000e+03,5.032869099241434885e-01
7.900000000000000000e+03,5.027147189554082019e-01
7.925000000000000000e+03,5.021377760343896934e-01
7.950000000000000000e+03,5.015559706190176881e-01
7.975000000000000000e+03,5.009691968248480842e-01
8.000000000000000000e+03,5.003773544932286210e-01
8.025000000000000000e+03,4.985814694919711854e-01
8.050000000000000000e+03,4.967810965967974779e-01
8.075000000000000000e+03,4.949762637721659142e-01
8.100000000000000000e+03,4.931670187993676957e-01
8.125000000000000000e+03,4.913534316723623951e-01
8.150000000000000000e+03,4.895355972088270002e-01
8.175000000000000000e+03,4.877136378920274851e-01
8.200000000000000000e+03,4.858877069598875331e-01
8.225000000000000000e+03,4.840665556759288224e-01
8.250000000000000000e+03,4.822429392718894370e-01
8.275000000000000000e+03,4.804172279477864627e-01
8.300000000000000000e+03,4.785898462860935232e-01
8.325000000000000000e+03,4.767612784530994574e-01
8.350000000000000000e+03,4.749320737946930437e-01
8.375000000000000000e+03,4.731028528476789452e-01
8.400000000000000000e+03,4.712743137876100885e-01
8.425000000000000000e+03,4.694472393337739136e-01
8.450000000000000000e+03,4.676225041312856989e-01
8.475000000000000000e+03,4.658010826292242057e-01
8.500000000000000000e+03,4.639840574722974842e-01
8.525000000000000000e+03,4.621726284215876834e-01
8.550000000000000000e+03,4.603681218174325851e-01
8.575000000000000000e+03,4.585720005943586530e-01
8.600000000000000000e+03,4.567858748541128722e-01
8.625000000000000000e+03,4.549886291323898546e-01
8.650000000000000000e+03,4.532022232067681733e-01
8.675000000000000000e+03,4.514285188298659546e-01
8.700000000000000000e+03,4.496695535780175779e-01
8.725000000000000000e+03,4.479275530417012319e-01
8.750000000000000000e+03,4.462049434599208997e-01
8.775000000000000000e+03,4.445043647554329236e-01
8.800000000000000000e+03,4.428286839155171073e-01
8.825000000000000000e+03,4.411810086492714555e-01
8.850000000000000000e+03,4.395647012370689222e-01
8.875000000000000000e+03,4.379833924708060322e-01
8.900000000000000000e+03,4.364409955648739792e-01
8.925000000000000000e+03,4.349417198974133147e-01
8.950000000000000000e+03,4.334900844194244929e-01
8.975000000000000000e+03,4.320909305458194294e-01
9.000000000000000000e+03,4.307494343177099005e-01
9.025000000000000000e+03,4.273949019256914061e-01
9.050000000000000000e+03,4.240723726072901933e-01
9.075000000000000000e+03,4.207851676051965195e-01
9.100000000000000000e+03,4.175368213984726462e-01
9.125000000000000000e+03,4.143310857076083487e-01
9.150000000000000000e+03,4.111719322037649671e-01
9.175000000000000000e+03,4.080635537052089146e-01
9.200000000000000000e+03,4.050103636325500522e-01
9.225000000000000000e+03,4.020169934856582805e-01
9.250000000000000000e+03,3.990882880997776438e-01
9.275000000000000000e+03,3.962292984372538518e-01
9.300000000000000000e+03,3.934452716752873114e-01
9.325000000000000000e+03,3.907416383601201026e-01
9.350000000000000000e+03,3.881239964149530985e-01
9.375000000000000000e+03,3.855980918134851443e-01
9.400000000000000000e+03,3.831697957640023966e-01
9.425000000000000000e+03,3.808450782909987287e-01
9.450000000000000000e+03,3.786299781527345809e-01
9.475000000000000000e+03,3.765305690940276007e-01
9.500000000000000000e+03,3.745529225036541288e-01
9.525000000000000000e+03,3.727030666243731916e-01
9.550000000000000000e+03,3.709869425496645778e-01
9.575000000000000000e+03,3.694103573331973811e-01
9.600000000000000000e+03,3.679789346327494992e-01
9.625000000000000000e+03,3.666980634071718148e-01
9.650000000000000000e+03,3.655728452800141026e-01
9.675000000000000000e+03,3.646080412731795284e-01
9.700000000000000000e+03,3.638080186947459937e-01
9.725000000000000000e+03,3.631766990330628775e-01
9.750000000000000000e+03,3.627175077606071829e-01
9.775000000000000000e+03,3.624333269823116210e-01
9.800000000000000000e+03,3.623264518710331838e-01
9.825000000000000000e+03,3.623985518151041640e-01
9.850000000000000000e+03,3.626506371578702148e-01
9.875000000000000000e+03,3.630830323362533307e-01
9.900000000000000000e+03,3.636953561252815326e-01
